Colorectal cancer,,,,,ab_c
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Propionic acid,HMDB0000237,CCC(O)=O,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
Ursodeoxycholic acid,HMDB0000946,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Valeric acid,HMDB0000892,CCCCC(O)=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
D-Fructose,HMDB0000660,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Nicotinic acid,HMDB0001488,OC(=O)C1=CN=CC=C1,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Blood,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Blood,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Blood,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Blood,Not Specified,
L-Histidine,HMDB0000177,N[C@@H](CC1=CN=CN1)C(O)=O,Blood,Not Specified,
L-Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,Blood,Not Specified,
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,Blood,Not Specified,
Sarcosine,HMDB0000271,CNCC(O)=O,Blood,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Blood,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Blood,Not Specified,
Pyruvic acid,HMDB0000243,CC(=O)C(O)=O,Blood,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Blood,Not Specified,
L-Tryptophan,HMDB0000929,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Blood,Not Specified,
L-Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Blood,Not Specified,
Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,Blood,Not Specified,
Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,Urine,Not Specified,
Hippuric acid,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,Urine,Not Specified,
p-Cresol,HMDB0001858,CC1=CC=C(O)C=C1,Urine,Not Specified,
L-alpha-Aminobutyric acid,HMDB0000452,CC[C@H](N)C(O)=O,Urine,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Urine,Not Specified,
Putrescine,HMDB0001414,NCCCCN,Urine,Not Specified,
Kynurenic acid,HMDB0000715,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,Urine,Not Specified,
L-alpha-Aminobutyric acid,HMDB0000452,CC[C@H](N)C(O)=O,Blood,Not Specified,
2-Hydroxybutyric acid,HMDB0000008,CC[C@H](O)C(O)=O,Blood,Not Specified,
3-Hydroxybutyric acid,HMDB0000011,C[C@@H](O)CC(O)=O,Blood,Not Specified,
4-Hydroxyproline,HMDB0000725,O[C@H]1CN[C@@H](C1)C(O)=O,Blood,Not Specified,
6-Phosphogluconic acid,HMDB0001316,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,Blood,Not Specified,
Acetic acid,HMDB0000042,CC(O)=O,Blood,Not Specified,
L-Acetylcarnitine,HMDB0000201,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Blood,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Blood,Not Specified,
L-Arginine,HMDB0000517,N[C@@H](CCCNC(N)=N)C(O)=O,Blood,Not Specified,
L-Asparagine,HMDB0000168,N[C@@H](CC(N)=O)C(O)=O,Blood,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Blood,Not Specified,
Betaine,HMDB0000043,C[N+](C)(C)CC(O)=O,Blood,Not Specified,
L-Carnitine,HMDB0000062,C[N+](C)(C)C[C@H](O)CC([O-])=O,Blood,Not Specified,
Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,Blood,Not Specified,
Creatine,HMDB0000064,CN(CC(O)=O)C(N)=N,Blood,Not Specified,
L-Cystine,HMDB0000192,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,Blood,Not Specified,
Elaidic acid,HMDB0000573,CCCCCCCC\C=C\CCCCCCCC(O)=O,Blood,Not Specified,
Fumaric acid,HMDB0000134,OC(=O)\C=C\C(O)=O,Blood,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Blood,Not Specified,
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,Blood,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Blood,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Blood,Not Specified,
Hippuric acid,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,Blood,Not Specified,
L-Histidine,HMDB0000177,N[C@@H](CC1=CN=CN1)C(O)=O,Blood,Not Specified,
Kynurenic acid,HMDB0000715,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,Blood,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Blood,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Blood,Not Specified,
Tetracosanoic acid,HMDB0002003,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Blood,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Blood,Not Specified,
Malic acid,HMDB0000156,O[C@@H](CC(O)=O)C(O)=O,Blood,Not Specified,
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,Blood,Not Specified,
Oleamide,HMDB0002117,CCCCCCCC\C=C/CCCCCCCC(N)=O,Blood,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Blood,Not Specified,
Ornithine,HMDB0000214,NCCC[C@H](N)C(O)=O,Blood,Not Specified,
Palmitic acid,HMDB0000220,CCCCCCCCCCCCCCCC(O)=O,Blood,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Blood,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Blood,Not Specified,
Pyruvic acid,HMDB0000243,CC(=O)C(O)=O,Blood,Not Specified,
Ribitol,HMDB0000508,OC[C@H](O)[C@H](O)[C@H](O)CO,Blood,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Blood,Not Specified,
Sphinganine,HMDB0000269,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,Blood,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Blood,Not Specified,
Threonic acid,HMDB0000943,OC[C@H](O)[C@@H](O)C(O)=O,Blood,Not Specified,
Trimethylamine N-oxide,HMDB0000925,C[N+](C)(C)[O-],Blood,Not Specified,
L-Tryptophan,HMDB0000929,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Blood,Not Specified,
L-Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Blood,Not Specified,
Urea,HMDB0000294,NC(N)=O,Blood,Not Specified,
Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,Blood,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Blood,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Blood,Not Specified,
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,Blood,Not Specified,
Acetic acid,HMDB0000042,CC(O)=O,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
L-Cysteine,HMDB0000574,N[C@@H](CS)C(O)=O,Feces,Not Specified,
Elaidic acid,HMDB0000573,CCCCCCCC\C=C\CCCCCCCC(O)=O,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
Phenol,HMDB0000228,OC1=CC=CC=C1,Blood,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Blood,Not Specified,
L-alpha-Aminobutyric acid,HMDB0000452,CC[C@H](N)C(O)=O,Urine,Not Specified,
5-Hydroxy-L-tryptophan,HMDB0000472,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,Urine,Not Specified,
L-Acetylcarnitine,HMDB0000201,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Urine,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Urine,Not Specified,
L-Arginine,HMDB0000517,N[C@@H](CCCNC(N)=N)C(O)=O,Urine,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Urine,Not Specified,
Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,Urine,Not Specified,
Creatinine,HMDB0000562,CN1CC(=O)NC1=N,Urine,Not Specified,
Fumaric acid,HMDB0000134,OC(=O)\C=C\C(O)=O,Urine,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Urine,Not Specified,
Hippuric acid,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,Urine,Not Specified,
L-Histidine,HMDB0000177,N[C@@H](CC1=CN=CN1)C(O)=O,Urine,Not Specified,
L-Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,Urine,Not Specified,
Kynurenic acid,HMDB0000715,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,Urine,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Urine,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Urine,Not Specified,
Malic acid,HMDB0000156,O[C@@H](CC(O)=O)C(O)=O,Urine,Not Specified,
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,Urine,Not Specified,
p-Cresol,HMDB0001858,CC1=CC=C(O)C=C1,Urine,Not Specified,
Phenol,HMDB0000228,OC1=CC=CC=C1,Urine,Not Specified,
Pyruvic acid,HMDB0000243,CC(=O)C(O)=O,Urine,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Urine,Not Specified,
Sphinganine,HMDB0000269,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,Urine,Not Specified,
Succinic acid,HMDB0000254,OC(=O)CCC(O)=O,Urine,Not Specified,
Threonic acid,HMDB0000943,OC[C@H](O)[C@@H](O)C(O)=O,Urine,Not Specified,
Trimethylamine N-oxide,HMDB0000925,C[N+](C)(C)[O-],Urine,Not Specified,
L-Tryptophan,HMDB0000929,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Urine,Not Specified,
L-Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Urine,Not Specified,
Uracil,HMDB0000300,O=C1NC=CC(=O)N1,Urine,Not Specified,
Urea,HMDB0000294,NC(N)=O,Urine,Not Specified,
Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,Urine,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Urine,Not Specified,
Butyric acid,HMDB0000039,CCCC(O)=O,Feces,Not Specified,
Acetic acid,HMDB0000042,CC(O)=O,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,Feces,Not Specified,
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Feces,Not Specified,
Propionic acid,HMDB0000237,CCC(O)=O,Feces,Not Specified,
Elaidic acid,HMDB0000573,CCCCCCCC\C=C\CCCCCCCC(O)=O,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
Ursodeoxycholic acid,HMDB0000946,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
D-Aspartic acid,HMDB0006483,N[C@H](CC(O)=O)C(O)=O,Feces,Not Specified,
L-Histidine,HMDB0000177,N[C@@H](CC1=CN=CN1)C(O)=O,Feces,Not Specified,
2-Furoylglycine,HMDB0000439,OC(=O)CNC(=O)C1=CC=CO1,Feces,Not Specified,
Stigmastanol,HMDB0000494,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,Feces,Not Specified,
Mandelic acid,HMDB0000703,O[C@H](C(O)=O)C1=CC=CC=C1,Feces,Not Specified,
Pterin,HMDB0000802,NC1=NC2=NC=CN=C2C(=O)N1,Feces,Not Specified,
p-Aminobenzoic acid,HMDB0001392,NC1=CC=C(C=C1)C(O)=O,Feces,Not Specified,
gamma-Tocopherol,HMDB0001492,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=C(C)C(C)=C2O1,Feces,Not Specified,
Acetaminophen,HMDB0001859,CC(=O)NC1=CC=C(O)C=C1,Feces,Not Specified,
alpha-Tocopherol,HMDB0001893,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,Feces,Not Specified,
Heme,HMDB0003178,CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C)C(C=C)=C6C=C7C(C)=C(C=C)C8=[N+]7[Fe--]4(N2C1=C8)N56)C(C)=C3CCC(O)=O,Feces,Not Specified,
4-Hydroxybenzaldehyde,HMDB0011718,OC1=CC=C(C=O)C=C1,Feces,Not Specified,
3-Dehydrocarnitine,HMDB0012154,C[N+](C)(C)CC(=O)CC([O-])=O,Feces,Not Specified,
Alanylhistidine,HMDB0028689,C[C@H](N)C(=O)N[C@@H](CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Alanylleucine,HMDB0028691,CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanyltryptophan,HMDB0013209,C[C@H](N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Histidylalanine,HMDB0028878,C[C@H](NC(=O)[C@@H](N)CC1=CN=CN1)C(O)=O,Feces,Not Specified,
Histidylglycine,HMDB0028885,N[C@@H](CC1=CNC=N1)C(=O)NCC(O)=O,Feces,Not Specified,
Histidylphenylalanine,HMDB0028892,N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Leucyl-Glutamate,HMDB0028928,CC(C)CC(N)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Leucyl-Serine,HMDB0028938,CC(C)CC(N)C(O)=NC(CO)C(O)=O,Feces,Not Specified,
Leucyl-Tryptophan,HMDB0028940,CC(C)CC(N)C(O)=NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Prolyl-Alanine,HMDB0029010,CC(NC(=O)C1CCCN1)C(O)=O,Feces,Not Specified,
Tryptophyl-Glycine,HMDB0029083,NC(CC1=CNC2=C1C=CC=C2)C(=O)NCC(O)=O,Feces,Not Specified,
Tyrosyl-Glutamine,HMDB0029103,NC(CC1=CC=C(O)C=C1)C(=O)NC(CCC(N)=O)C(O)=O,Feces,Not Specified,
Valylaspartic acid,HMDB0029123,CC(C)[C@H](N)C(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Valylhistidine,HMDB0029129,CC(C)[C@H](N)C(=O)N[C@@H](CC1=CN=CN1)C(O)=O,Feces,Not Specified,
SM(d18:1/16:0),HMDB0010169,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Pyroglutamylglycine,HMDB0061890,NC(C(O)=O)C(=O)C1CCC(O)=N1,Feces,Not Specified,
2-Hydroxyacetaminophen sulfate,HMDB0062547,CC(=O)NC1=CC=C(OS(O)(=O)=O)C=C1O,Feces,Not Specified,
Deoxyuridine,HMDB0000012,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,Feces,Not Specified,
Deoxyguanosine,HMDB0000085,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,Feces,Not Specified,
Cytidine,HMDB0000089,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Feces,Not Specified,
Glycerol 3-phosphate,HMDB0000126,OC[C@@H](O)COP(O)(O)=O,Feces,Not Specified,
Guanine,HMDB0000132,NC1=NC(=O)C2=C(N1)N=CN2,Feces,Not Specified,
Guanosine,HMDB0000133,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,Feces,Not Specified,
Fumaric acid,HMDB0000134,OC(=O)\C=C\C(O)=O,Feces,Not Specified,
Glycocholic acid,HMDB0000138,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Indoleacetic acid,HMDB0000197,OC(=O)CC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Feces,Not Specified,
Pyruvic acid,HMDB0000243,CC(=O)C(O)=O,Feces,Not Specified,
Squalene,HMDB0000256,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,Feces,Not Specified,
Thymidine,HMDB0000273,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,Feces,Not Specified,
Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,Feces,Not Specified,
"3,4-Dihydroxyhydrocinnamic acid",HMDB0000423,OC(=O)CCC1=CC(O)=C(O)C=C1,Feces,Not Specified,
Adipic acid,HMDB0000448,OC(=O)CCCCC(O)=O,Feces,Not Specified,
Stigmastanol,HMDB0000494,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,Feces,Not Specified,
Creatinine,HMDB0000562,CN1CC(=O)NC1=N,Feces,Not Specified,
Isocaproic acid,HMDB0000689,CC(C)CCC(O)=O,Feces,Not Specified,
Mandelic acid,HMDB0000703,O[C@H](C(O)=O)C1=CC=CC=C1,Feces,Not Specified,
Isovaleric acid,HMDB0000718,CC(C)CC(O)=O,Feces,Not Specified,
L-Homoserine,HMDB0000719,N[C@@H](CCO)C(O)=O,Feces,Not Specified,
Lithocholic acid,HMDB0000761,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Pseudouridine,HMDB0000767,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O,Feces,Not Specified,
Sebacic acid,HMDB0000792,OC(=O)CCCCCCCCC(O)=O,Feces,Not Specified,
beta-Sitosterol,HMDB0000852,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,Feces,Not Specified,
Tetradecanedioic acid,HMDB0000872,OC(=O)CCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Valeric acid,HMDB0000892,CCCCC(O)=O,Feces,Not Specified,
7-Methylguanine,HMDB0000897,CN1C=NC2=C1C(=O)N=C(N)N2,Feces,Not Specified,
Citrulline,HMDB0000904,N[C@@H](CCCNC(N)=O)C(O)=O,Feces,Not Specified,
N-Formyl-L-methionine,HMDB0001015,CSCC[C@H](NC=O)C(O)=O,Feces,Not Specified,
N-Acetyl-L-glutamic acid,HMDB0001138,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Lanosterol,HMDB0001251,[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,Feces,Not Specified,
"N6,N6,N6-Trimethyl-L-lysine",HMDB0001325,C[N+](C)(C)CCCC[C@H](N)C([O-])=O,Feces,Not Specified,
Nicotinic acid,HMDB0001488,OC(=O)C1=CN=CC=C1,Feces,Not Specified,
Acetaminophen,HMDB0001859,CC(=O)NC1=CC=C(O)C=C1,Feces,Not Specified,
Myristoleic acid,HMDB0002000,CCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
"1,3,7-Trimethyluric acid",HMDB0002123,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C,Feces,Not Specified,
3-Hydroxycapric acid,HMDB0002203,CCCCCCC[C@H](O)CC(O)=O,Feces,Not Specified,
Erythritol,HMDB0002994,OC[C@H](O)[C@H](O)CO,Feces,Not Specified,
Quinic acid,HMDB0003072,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,Feces,Not Specified,
Palmitoleic acid,HMDB0003229,CCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
L-Allothreonine,HMDB0004041,C[C@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
Tyrosol,HMDB0004284,OCCC1=CC=C(O)C=C1,Feces,Not Specified,
N-methylphenylalanine,HMDB0029224,CNC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Isopalmitic acid,HMDB0031068,CC(C)CCCCCCCCCCCCC(O)=O,Feces,Not Specified,
